Name,Assigned Male,Year,Assigned Female,Total
Lyall,4.0,1974,,4.0
Manus,4.0,1974,,4.0
Daren,4.0,1974,,4.0
Murray,52.0,1974,,52.0
Gareth,50.0,1974,,50.0
Dean,49.0,1974,,49.0
Diarmid,1.0,1974,,1.0
Derryn,1.0,1974,,1.0
Derry,1.0,1974,,1.0
Dermot,1.0,1974,,1.0
Denver,1.0,1974,,1.0
Del,1.0,1974,,1.0
Dax,1.0,1974,,1.0
Dawson,1.0,1974,,1.0
Davinder,1.0,1974,,1.0
Davide,1.0,1974,,1.0
Darryn,1.0,1974,,1.0
Darryll,1.0,1974,,1.0
Diego,1.0,1974,,1.0
Dino,1.0,1974,,1.0
Dion,1.0,1974,,1.0
Eben,1.0,1974,,1.0
Eamon,1.0,1974,,1.0
Darrell,1.0,1974,,1.0
Dugald,1.0,1974,,1.0
Dougal,1.0,1974,,1.0
Dorian,1.0,1974,,1.0
Donny,1.0,1974,,1.0
Donnie,1.0,1974,,1.0
Domenico,1.0,1974,,1.0
Duane,1.0,1974,,1.0
Darrel,1.0,1974,,1.0
Darius,1.0,1974,,1.0
Ciaron,1.0,1974,,1.0
Ciaran,1.0,1974,,1.0
Christos,1.0,1974,,1.0
Christie,1.0,1974,,1.0
Chi,1.0,1974,,1.0
Che,1.0,1974,,1.0
Chae,1.0,1974,,1.0
Casey,1.0,1974,,1.0
Cary,1.0,1974,,1.0
Carol,1.0,1974,319.0,320.0
Carey,1.0,1974,2.0,3.0
Chee,1.0,1974,,1.0
Clinton,1.0,1974,1.0,2.0
Danielle,1.0,1974,5.0,6.0
Cullen,1.0,1974,,1.0
Cormac,1.0,1974,,1.0
Corin,1.0,1974,,1.0
Corey,1.0,1974,,1.0
Connor,1.0,1974,,1.0
Colum,1.0,1974,,1.0
Collin,1.0,1974,,1.0
Coll,1.0,1974,,1.0
Callam,1.0,1974,,1.0
Ellis,1.0,1974,,1.0
Heather,1.0,1974,253.0,254.0
Hassan,1.0,1974,,1.0
Hardeep,1.0,1974,,1.0
Hani,1.0,1974,,1.0
